Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
86.2,76.4,1.13,110.7,24.3,5953,64,4.9,9I
94.2,79,1.19,122.4,18.8,6954,61,5,9I
93.1,75.7,1.23,117.7,17.7,7654,56,4.7,9I
92,80.4,1.14,115.4,17.5,7654,53,4.6,9I
98.7,79.3,1.24,127.8,19.8,8504,73,5.3,9I
98.2,76.5,1.28,130.2,18,7330,64,5.2,9I
97.5,78.7,1.24,127.3,20.3,7796,73,5.3,9I
97.1,81.5,1.19,128,17.6,7085,61,5,9I
98.8,82.5,1.2,128.1,19.9,8504,74,5.3,9I
102.9,76.3,1.35,140.5,20.1,7370,81,5.7,9I
115.6,92.2,1.25,176.7,17.5,3402,84,5.8,5I
125.2,91.4,1.37,194.7,17.6,3969,106,6.5,5I
112.7,86.1,1.31,162.4,12.9,3969,59,5.1,5I
121.7,91,1.34,188,17.4,3827,97,6.2,5I
121.5,91.7,1.33,181.7,17.7,4952,103,6.4,5I
113.3,92.8,1.22,170.3,17.8,3684,83,5.7,5I
121.2,92.2,1.31,177.6,17.7,5952,104,6.5,5I
75,95.3,0.79,77.2,13.5,5953,20,3,5I
104.2,80.7,1.29,141.1,16.4,7654,68,5.4,8I
94.1,87.4,1.08,120.5,14.5,5064,42,4.3,8I
95.6,83.2,1.15,122.1,13.5,4938,40,4.2,8I
111.9,86.5,1.29,155.5,15,7654,76,5.8,8I
105.4,94.5,1.12,142.1,12.2,4961,48,4.7,8I
106,90.1,1.18,144.7,14.2,6912,60,5.2,8I
105.1,86.3,1.22,144.5,13.6,4356,53,4.8,8I
110.8,84.1,1.32,155.8,15.6,6772,74,5.7,8I
99.8,88.9,1.12,134.6,15.7,5174,55,4.8,8I
93.9,87.3,1.08,123.3,18,6199,56,4.8,8I
89.6,88.1,1.02,114.9,22.7,6691,66,5,8I
109.3,85.2,1.28,154.7,16.6,6158,75,5.6,8I
124.6,91,1.37,189.5,16.3,4554,100,6.3,4I
113.4,90.2,1.26,165.6,16.3,4678,79,5.7,4I
117.9,90.3,1.31,181.8,16.5,3315,82,5.8,4I
123.8,89,1.39,186.6,16.5,4790,100,6.3,4I
69.5,89.9,0.77,78.4,22.9,4650,34,3.5,4I
113.2,88.1,1.29,165.8,14.7,4111,69,5.4,4I
119,95.2,1.25,180.4,16.2,4027,87,5.9,4I
118.9,88.7,1.34,182.2,16.3,3639,85,5.9,4I
106.3,83,1.28,148.4,15.5,5600,64,5.2,7I
94.5,85.3,1.11,125.8,18.4,5373,57,4.9,7I
111.6,88.5,1.26,157.6,14.1,5953,67,5.4,7I
101.9,88.4,1.15,133,14.5,7938,58,5,7I
72.2,88.8,0.81,76.4,16.4,5528,24,3.1,7I
111.9,87.3,1.28,160.4,16.5,5670,79,5.7,7I
102.8,87.3,1.18,139,14.2,5730,54,4.9,7I
88.9,91.4,0.97,109,15.8,7269,43,4.3,7I
102.3,88,1.16,138,14.3,5670,53,4.9,7I
111.9,90.8,1.23,168.6,19.2,3585,87,5.8,6I
106.8,88.2,1.21,148.9,14.4,4933,59,5,6I
105.9,89.1,1.19,151.1,19.2,4884,79,5.5,6I
49.8,90.2,0.55,43.4,24.9,3898,18,2.4,6I
115.2,88.4,1.3,167.6,13.3,4394,67,5.4,6I
99.9,88.8,1.13,138.2,18.7,4906,66,5.1,6I
78.8,87,0.91,83.5,12.9,5245,21,3.1,6I
80.2,75.5,1.06,91,15.8,7054,32,3.7,6I
55,88,0.62,51.6,25,5448,23,2.8,6I
100.5,86.5,1.16,138.6,18.9,5955,69,5.3,6I
