Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
110.5,86.4,1.28,153.4,13.4,6946,64,5.4,6I
121.5,89.4,1.36,175.7,13.3,6520,82,6.1,6I
121,88.4,1.37,178.7,14,4987,81,5.9,6I
70.8,85.2,0.83,75.1,17.5,5126,25,3.1,6I
116.8,87.1,1.34,170,13.4,4819,71,5.5,6I
115.4,88.4,1.31,165.9,12.9,5008,67,5.4,6I
111.9,88.8,1.26,162.3,13.5,3684,59,5.1,6I
114,90.5,1.26,161.5,12.6,5525,63,5.3,6I
107,92.6,1.16,146.5,14.3,7188,63,5.3,6I
116,85.8,1.35,170.7,15.6,4678,80,5.8,6I
107,84.8,1.26,150.8,14.5,4260,59,5,6I
115.8,84.7,1.37,165.5,12.8,5564,68,5.5,6I
109.2,88.3,1.24,151.5,12.9,5334,57,5,6I
114.8,85.1,1.35,164,15,6414,78,5.8,6I
113.9,88.6,1.29,161.8,12.4,5021,61,5.2,6I
106.3,88,1.21,146.1,12.3,3770,47,4.6,6I
120.4,86.6,1.39,182.6,13.2,3543,70,5.6,6I
112.5,88,1.28,161.7,12.3,3685,55,5,6I
115.2,88.1,1.31,168.1,14.2,4570,72,5.5,6I
110.2,90.6,1.22,153.1,14.3,7087,68,5.5,6I
109.7,83.4,1.32,154.5,14.5,5670,66,5.3,6I
119.1,86.8,1.37,173,13.1,5386,75,5.7,6I
107.8,88.6,1.22,150.3,14.4,5535,61,5.1,6I
118.9,87.7,1.36,173.7,15.4,5550,86,6,6I
123.5,91.4,1.35,182.5,12.7,5070,79,5.9,6I
121.3,88.2,1.38,176.8,16.4,6300,98,6.4,6I
120.9,90.3,1.34,175,12.8,6091,77,5.9,6I
118.8,86.6,1.37,174.7,14.8,5002,82,5.9,6I
117.6,87.1,1.35,169.6,13,5419,71,5.6,6I
117.9,89.3,1.32,169.2,12.7,5863,71,5.6,6I
