Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
155.4,116.5,1.34,239.9,9.2,3570,88,6.6,Driver
154.8,111.2,1.39,242.7,9.9,2976,85,6.5,Driver
155.7,109.3,1.42,245.1,9.8,2409,77,6.2,Driver
155.8,101.3,1.54,245.2,9.7,2476,78,6.2,Driver
148.2,110.3,1.34,235.8,12.3,2319,84,6.2,Driver
157.5,107.3,1.47,247.2,9.2,2622,78,6.3,Driver
