Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
151,106.5,1.42,234.2,9.5,2764,73,6.1,Driver
153.5,111.4,1.38,239.7,9.5,2552,74,6.1,Driver
136.7,109.1,1.25,196.9,8.6,2418,45,4.9,Driver
148.7,107,1.39,227.7,9.6,3543,81,6.3,Driver
145.2,108.6,1.34,222.6,9.8,2835,68,5.9,Driver
148.9,107.3,1.39,226,9.3,1894,58,5.4,Driver
153.7,108.7,1.42,241.2,9.8,2586,78,6.2,Driver
142.4,102.6,1.39,227.3,15.4,2716,104,6.6,Driver
147.8,103.6,1.43,234.2,12.2,2624,88,6.4,Driver
145.2,106.8,1.36,222,9.6,2854,67,5.8,Driver
