Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
103,82.2,1.25,143.6,19.1,5953,74,5.5,6I
118.4,86,1.38,175.9,19.2,4923,104,6.3,6I
103.8,86.1,1.21,145.3,19.1,5952,75,5.5,6I
108.3,86.2,1.26,151,13.6,5103,58,5,6I
111.7,83.2,1.34,157.3,14.9,6678,73,5.7,6I
114.3,86.6,1.32,161.1,12.5,6312,65,5.5,6I
115.7,90.5,1.28,169.9,13.2,4019,66,5.4,6I
115.2,84.9,1.36,168.3,14.3,4536,72,5.5,6I
118.6,89.4,1.33,170.4,12.1,5528,68,5.5,6I
118.6,88.2,1.35,180.8,19.1,3996,101,6.2,6I
116.5,87.4,1.33,167.7,12.3,4890,65,5.4,6I
106.2,86.9,1.22,155.4,19,3614,76,5.4,6I
109.3,87.3,1.25,157.6,19.2,5014,86,5.7,6I
115.6,86.6,1.33,164.8,12.3,5245,64,5.4,6I
114.1,90.5,1.26,164.6,19,6013,95,6.2,6I
115.5,91.1,1.27,167,12.7,4536,64,5.3,6I
117.2,88.2,1.33,175.4,13.6,3614,67,5.4,6I
112.2,90.6,1.24,161.4,14.4,4648,68,5.4,6I
102.5,88.2,1.16,138.4,13.8,4473,50,4.7,6I
103.5,87.2,1.19,140.3,13.8,5046,52,4.8,6I
114.3,87.2,1.31,166,13.6,4394,67,5.4,6I
108.6,85.4,1.27,149.6,12.4,5283,54,4.9,6I
111.2,87.8,1.27,156.2,13.5,5952,64,5.3,6I
108.6,87.9,1.24,150.4,14.6,7048,67,5.5,6I
111.8,85.7,1.31,162.3,13.8,3780,61,5.2,6I
101,86.8,1.16,141.4,19,4564,69,5.1,6I
117.4,89.7,1.31,166.6,12.1,6532,68,5.6,6I
115,84.6,1.36,170.7,13.8,3543,65,5.3,6I
111.2,85.1,1.31,161.2,16.9,4718,78,5.6,6I
114.7,85.7,1.34,165.5,12.7,4432,63,5.3,6I
101.9,87.9,1.16,135,12.7,4622,45,4.5,6I
114.1,87.3,1.31,161.8,13.5,6240,69,5.6,6I
115.2,86.8,1.33,167.8,14.8,4846,75,5.6,6I
103.8,84.9,1.22,147.4,17.3,3969,65,5.1,6I
118.1,86.4,1.37,171.8,15.6,5812,86,6,6I
106.6,85.8,1.24,145.7,13.1,6379,55,5.1,6I
112.3,87.6,1.28,159.6,14.7,5952,71,5.6,6I
110,88.7,1.24,155.2,15.5,6236,71,5.6,6I
