Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
110.9,86.1,1.29,163.1,19.2,4354,88,5.8,6I
111.2,81.8,1.36,161.6,15.1,4111,68,5.3,6I
98.7,87.8,1.13,128.2,13,6033,44,4.5,6I
115.3,86.8,1.33,168.9,15.4,4748,78,5.7,6I
117.1,85.1,1.38,168.9,14.8,6095,81,5.9,6I
118.5,85.7,1.38,176,15.8,4678,86,5.9,6I
109.4,91.1,1.2,155.5,19.2,6236,88,5.9,6I
113.9,89.9,1.27,165.1,16,5169,79,5.7,6I
123.3,88.4,1.39,181.8,15.5,5688,96,6.3,6I
109.5,91.9,1.19,161.4,18.8,3984,82,5.6,6I
105.6,87.9,1.2,147.2,19,6694,80,5.7,6I
115.3,87.5,1.32,165.8,16.4,6322,86,6,6I
