Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
85.2,72.3,1.18,103.8,25.1,7786,66,4.8,GW
84.5,72.1,1.17,92.4,12.6,10490,28,3.5,GW
78.7,71.6,1.1,85.4,13.7,6804,25,3.3,GW
86.4,76.3,1.13,104.9,28.1,8222,78,5.1,GW
83.2,76.2,1.09,98.8,18.8,7765,44,4.1,GW
86.1,73.3,1.17,102.8,30.1,8500,83,5.3,GW
87.5,78.6,1.11,106.3,22.1,9866,61,4.7,GW
89.5,77.6,1.15,109.7,24,9124,70,5,GW
83.4,71.6,1.17,97.9,30.9,8663,79,5.1,GW
89.8,76.7,1.17,107.8,15,8514,42,4.2,GW
94.4,78.1,1.21,124.2,17,5528,52,4.7,GW
85.9,77.3,1.11,104.9,25.5,7938,69,4.9,GW
87.7,73.7,1.19,104.6,29.9,10894,84,5.3,GW
85.9,71.5,1.2,107,31.4,6300,86,5.4,GW
61.6,73.8,0.83,64.4,32.1,6074,43,3.7,9I
90.7,77.3,1.17,113.8,18.5,7525,55,4.7,9I
96.1,76.5,1.25,128.6,23.5,7045,80,5.5,9I
102.2,79.7,1.28,138.5,24.6,7180,97,6,9I
96,78.2,1.23,132.3,23.8,5103,78,5.4,9I
99.8,82.2,1.21,139.5,22,5011,79,5.4,9I
92.6,75.4,1.23,120.6,22.7,7086,72,5.2,9I
95.1,77.1,1.23,120.8,30.9,7357,105,6,9I
90.9,81.8,1.11,115.4,21,7371,63,4.9,9I
97.5,79.7,1.22,132.1,29.7,5599,104,6,9I
56.4,82.7,0.68,53.4,23.5,5174,22,2.7,9I
82.2,65.1,1.26,98.8,21.5,7371,51,4.3,9I
97.3,78.8,1.24,133,21.9,6040,75,5.4,9I
82.5,77.4,1.07,95.9,16.1,7273,36,3.8,9I
99.1,82.4,1.2,126.5,15,8222,56,4.9,7I
105.9,86.9,1.22,145.6,14,5977,58,5.1,7I
97.9,83.3,1.18,136.3,20.9,4059,70,5.1,7I
70.6,84.1,0.84,67.1,13.1,6662,17,2.7,7I
73.3,84.4,0.87,69.9,12.4,4897,16,2.6,7I
68.2,81.2,0.84,60,12.2,5683,13,2.4,7I
68.4,82.9,0.83,67.7,15.9,6236,20,2.9,7I
96.2,84.6,1.14,131.5,20.3,4401,65,5,7I
112.5,84.4,1.33,159.4,15.3,6520,75,5.7,7I
98.9,85.3,1.16,131.3,15.6,6502,55,4.9,7I
111.2,84.1,1.32,156.8,14.8,6379,71,5.6,7I
112.5,85,1.32,163.6,14.7,4252,69,5.4,7I
107.2,86.3,1.24,150.4,14.6,4819,61,5.1,7I
113.4,84.1,1.35,162.5,14.4,5332,71,5.5,7I
98.8,87,1.14,136.9,21,5090,73,5.3,7I
108.3,85.1,1.27,154.5,16.3,4750,70,5.3,7I
108,88.1,1.23,149.3,13.5,6055,59,5.1,7I
109.7,81.3,1.35,154.1,13,4657,57,5,5I
69,85.2,0.81,70.7,17.1,4882,22,2.9,5I
105.8,83.9,1.26,151.3,17.8,4394,72,5.3,5I
121.4,85,1.43,181.8,12.5,4044,71,5.6,5I
104.8,88.5,1.19,143.4,14.6,6310,59,5.1,5I
108.2,90.1,1.2,149.9,12.3,4252,51,4.8,5I
111.1,88.1,1.26,161.4,13.9,3579,60,5.1,5I
113.8,92.1,1.24,161.6,12.1,4842,60,5.2,5I
114.5,86,1.33,169.4,15.2,4015,73,5.5,5I
106,92.7,1.14,145.5,14.3,6520,60,5.2,5I
