Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
145.5,101.2,1.44,238.4,9.9,2693,75,6.2,Driver
146.3,97.2,1.51,239.7,9.8,2268,72,6,Driver
144.8,100.2,1.45,236.8,9.9,2707,74,6.2,Driver
145.5,99.1,1.47,243.4,12.1,1984,86,6.3,Driver
143.7,100,1.44,232.4,9.8,1913,66,5.8,Driver
140.6,97.6,1.44,233.4,12.8,1842,83,6.1,Driver
149.3,101,1.48,245.3,9.9,3140,85,6.6,Driver
150.5,100,1.51,251.4,12.4,3163,106,7,Driver
140.7,102,1.38,225.1,9.6,2087,62,5.6,Driver
152.5,102.3,1.49,252.3,9.6,2055,77,6.2,Driver
155.1,103.8,1.49,256.9,9.9,3211,93,6.8,Driver
147.1,100.1,1.47,241.2,9.9,2126,72,6,Driver
151.9,100.3,1.51,258.1,12.6,2375,102,6.9,Driver
148.8,102.2,1.46,244.6,9.4,2490,74,6.2,Driver
155.5,103.6,1.5,258.9,9.3,2463,82,6.5,Driver
151.1,101.3,1.49,255.4,12.2,2574,100,6.8,Driver
152.8,103.5,1.48,252.4,9.8,3206,90,6.7,Driver
