Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
101.4,81.3,1.25,143,21.5,4819,80,5.5,8I
96.3,78.8,1.22,131.3,20.5,5069,67,5.1,8I
92.3,77.3,1.19,114.5,19.3,8718,60,4.8,8I
99.8,83.2,1.2,135.6,16.6,5066,57,4.9,8I
92.9,80.9,1.15,116.2,18.5,8317,58,4.8,8I
91,77.5,1.18,115.9,21.6,7370,66,5,8I
102.9,81.7,1.26,145.4,20.7,4987,80,5.5,8I
68,81.3,0.84,67,16,5323,19,2.8,8I
94.2,80.6,1.17,126.9,20,4670,61,4.9,8I
98.2,80.4,1.22,133.1,19.4,6362,68,5.3,8I
106.5,81.3,1.31,150.6,18.1,5645,76,5.5,8I
90.7,82.8,1.1,120.7,21.7,4702,61,4.8,8I
96.5,82.2,1.17,122.2,15.3,8034,53,4.7,8I
104.4,81.8,1.28,147.3,19.7,5466,79,5.5,8I
103.2,81.6,1.26,145,22.4,5760,88,5.8,8I
98,81.3,1.21,135.9,22.6,5142,78,5.4,8I
103.3,84.1,1.23,145.7,19.2,4982,74,5.4,8I
105.2,82.2,1.28,148.6,20.3,5721,83,5.7,8I
110.8,85.6,1.3,157.4,21.7,6344,102,6.3,8I
99.3,84.5,1.18,131.6,14.2,5280,48,4.6,8I
65.9,84.8,0.78,68.7,20.3,4793,25,3.1,8I
100.2,86,1.17,136.6,16.6,5019,58,4.9,8I
123.5,89.9,1.37,187.6,13,3968,76,5.8,4I
124.7,90.6,1.38,186.7,13.4,4827,85,6,4I
93.5,87.4,1.07,120.7,15.3,3181,42,4.1,4I
128,91.8,1.4,194.4,16.4,4906,108,6.6,4I
116.5,93,1.25,173.8,16.4,4294,84,5.8,4I
114.2,92.5,1.23,165.9,12.7,3913,60,5.2,4I
126,91.1,1.38,192.4,16.2,4536,102,6.4,4I
124.7,92.9,1.34,187.5,12.8,4536,80,5.9,4I
132.5,93.4,1.42,216.3,16.3,3118,104,6.6,4I
116.6,93.8,1.24,174.1,16.4,4255,84,5.8,4I
108.6,89.8,1.21,155,13.9,3704,57,5,4I
123.8,91.4,1.36,189.7,13.1,3684,75,5.8,4I
122.2,93.9,1.3,184.7,12.6,3827,71,5.7,4I
132.3,93.3,1.42,205.4,13,4252,92,6.4,4I
129.1,93.6,1.38,195.4,16.6,5103,112,6.7,4I
125.5,92.4,1.36,188.5,16.4,5080,104,6.5,4I
130.8,92.4,1.42,205.5,16.4,4040,109,6.7,4I
129.9,93.7,1.39,210.1,16.2,3163,100,6.5,4I
129.3,93.5,1.38,204.7,16.2,3684,103,6.5,4I
83.7,91.7,0.91,96.7,14.5,4536,29,3.5,4I
120.8,93.4,1.29,177.8,13.3,5025,78,5.8,4I
134,91.9,1.46,206.8,14.1,4678,104,6.6,4I
128.2,91.3,1.4,193.8,16.3,5064,108,6.6,4I
120.1,91.5,1.31,185.7,15.8,3418,82,5.9,4I
131.3,93.6,1.4,209.9,15.1,3490,98,6.5,4I
121,92.2,1.31,183.8,16.5,4232,93,6.1,4I
