Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
100,79.4,1.26,137.5,20.6,6379,76,5.5,9I
94,81,1.16,122.3,26.2,7320,86,5.6,9I
90.9,79.5,1.14,119.4,20.2,5638,58,4.8,9I
93.3,82.1,1.14,125.8,24,5670,75,5.3,9I
90,80.6,1.12,114.4,29,7216,87,5.5,9I
91.7,83.7,1.1,122.1,20.9,4962,60,4.9,9I
78.4,82.3,0.95,97.4,25.5,5058,54,4.4,9I
102.2,84,1.22,141.5,21,6537,82,5.7,9I
91.5,78.2,1.17,118.9,33.5,5782,104,5.9,9I
91.6,79.4,1.15,110.1,30.8,9356,96,5.7,9I
105.5,89.2,1.18,147.6,15.6,4826,62,5.1,6I
111.3,89,1.25,161.2,14.7,4146,66,5.3,6I
114.3,86.1,1.33,169.6,15,3827,71,5.5,6I
102,87.2,1.17,137,14.5,6236,55,5,6I
109.4,88.8,1.23,154.7,16.4,6095,74,5.6,6I
115.4,94,1.23,171.4,17,4375,85,5.8,6I
112,85.7,1.31,161.1,16.2,5315,77,5.6,6I
113.7,82.9,1.37,170.8,17.1,3696,80,5.7,6I
80.1,86.2,0.93,91.8,16.4,4123,30,3.4,6I
