Ball Speed (mph),Club Speed (mph),Smash,Carry Distance (yds),Launch Angle V (°),Spin (rpm),Height (ft),Time (s),Club
68.6,54.8,1.25,75.5,29.5,7491,49,4,PW
77.3,63.6,1.22,93.8,24.7,5856,51,4.3,PW
68.1,66.5,1.02,73.9,33.6,7901,56,4.2,PW
75.5,57.1,1.32,82.4,37.8,10327,79,5,PW
81.5,70.7,1.15,95.7,29.8,8263,72,4.9,PW
91.9,77.2,1.19,116.6,16,6725,47,4.5,PW
88.7,72.6,1.22,110.4,27.5,7860,80,5.3,PW
92.6,77.6,1.19,124.2,25.6,5771,80,5.4,PW
88.4,72.4,1.22,107.2,28.1,9118,81,5.3,PW
88.6,70.8,1.25,110.4,15.9,6180,41,4.2,PW
89,74.9,1.19,109.1,28.7,8392,85,5.4,PW
70.9,47.6,1.49,78,34.1,7610,63,4.5,PW
99.6,79.4,1.25,135.3,18.5,6662,67,5.3,8I
110.7,84.9,1.3,157.7,19.7,6265,92,6.1,8I
111,87.6,1.27,161.5,18.8,4825,87,5.8,8I
109.1,85.4,1.28,155,18.1,6075,82,5.8,8I
105.9,87.3,1.21,142.4,23.5,7865,102,6.1,8I
100.1,83.2,1.2,138.1,18.1,4961,64,5,8I
104,85.4,1.22,147.6,22.6,5073,90,5.8,8I
106,80.1,1.32,148.5,17.9,6311,75,5.6,8I
93.1,83.2,1.12,122,23,7086,74,5.3,8I
109.2,87.9,1.24,151.6,15.6,7324,73,5.6,8I
110.6,88.1,1.26,156.5,15.1,5953,70,5.5,8I
110.3,84.9,1.3,151.8,18.9,7938,91,6,8I
109,86.1,1.27,153.9,21.2,6520,96,6.1,8I
113.4,89.3,1.27,166.3,17.4,4701,85,5.8,8I
108.5,89.2,1.22,150.5,12.9,4980,55,4.9,6I
116.7,90.2,1.29,167.8,12.7,5225,68,5.5,6I
113.6,90,1.26,160.8,12.3,5216,61,5.2,6I
100.2,89.4,1.12,134.7,17.7,7370,66,5.3,6I
119.2,89.1,1.34,171.4,12.4,6039,72,5.7,6I
104.2,90.4,1.15,142.3,13.4,4252,51,4.7,6I
121,87.2,1.39,176.6,19,6095,111,6.6,6I
118.1,90.9,1.3,171.9,14.6,5468,80,5.8,6I
113.1,78.8,1.44,160.2,13,5366,64,5.3,6I
99.1,85.8,1.16,134,16.5,5294,56,4.9,6I
110.6,77.2,1.43,157.7,15.3,5166,70,5.4,6I
117.3,91.7,1.28,168.4,13.1,5895,72,5.7,6I
119.9,84.6,1.42,171.6,13.3,6946,80,6,6I
117.9,84.2,1.4,169.6,18.9,6662,104,6.5,6I
119.7,88.2,1.36,174.7,19.1,5987,108,6.5,6I
117.1,91.6,1.28,175.3,16.3,4248,85,5.9,4I
117.8,91.1,1.29,178,16.4,4019,86,5.9,4I
123.8,90.8,1.36,184.1,12.1,4667,75,5.8,4I
117.9,92.4,1.28,172.7,12.6,4435,68,5.5,4I
118.7,89.4,1.33,176.2,16.5,4856,90,6,4I
126.5,92.7,1.37,194,16.5,4439,104,6.5,4I
121.3,93.9,1.29,183.7,16.5,4378,94,6.2,4I
129.6,93,1.39,199.3,12.6,4216,85,6.1,4I
120.3,90,1.34,179.4,14,4488,79,5.8,4I
124.7,93.2,1.34,187.5,12.5,4421,77,5.9,4I
